 * Epoch 94: time=2.58s, test_loss=0.369, train_loss=0.369
 * Epoch 95: time=2.59s, test_loss=0.367, train_loss=0.367
 * Epoch 96: time=2.45s, test_loss=0.368, train_loss=0.368
 * Epoch 97: time=2.49s, test_loss=0.370, train_loss=0.370
 * Epoch 98: time=2.57s, test_loss=0.370, train_loss=0.370
 * Epoch 99: time=2.57s, test_loss=0.370, train_loss=0.370
 * Epoch 100: time=2.56s, test_loss=0.368, train_loss=0.368
 * Epoch 101: time=2.56s, test_loss=0.368, train_loss=0.368
 * Epoch 102: time=2.50s, test_loss=0.368, train_loss=0.368
 * Epoch 103: time=2.49s, test_loss=0.369, train_loss=0.369
 * Epoch 104: time=2.49s, test_loss=0.368, train_loss=0.368
 * Epoch 105: time=2.50s, test_loss=0.368, train_loss=0.368
 * Epoch 106: time=2.60s, test_loss=0.370, train_loss=0.370
 * Epoch 107: time=2.46s, test_loss=0.368, train_loss=0.368
 * Epoch 108: time=2.56s, test_loss=0.368, train_loss=0.368
 * Epoch 109: time=2.45s, test_loss=0.367, train_loss=0.367
 * Epoch 110: time=2.52s, test_loss=0.367, train_loss=0.367
 * Epoch 111: time=2.50s, test_loss=0.368, train_loss=0.368
 * Epoch 112: time=2.52s, test_loss=0.368, train_loss=0.368
 * Epoch 113: time=2.54s, test_loss=0.369, train_loss=0.369
 * Epoch 114: time=2.47s, test_loss=0.369, train_loss=0.369
 * Epoch 115: time=2.52s, test_loss=0.368, train_loss=0.368
 * Epoch 116: time=2.58s, test_loss=0.367, train_loss=0.367
 * Epoch 117: time=2.48s, test_loss=0.368, train_loss=0.368
 * Epoch 118: time=2.47s, test_loss=0.367, train_loss=0.367
 * Epoch 119: time=2.50s, test_loss=0.368, train_loss=0.368
 * Epoch 120: time=2.50s, test_loss=0.368, train_loss=0.368
 * Epoch 121: time=2.48s, test_loss=0.369, train_loss=0.369
 * Epoch 122: time=2.48s, test_loss=0.370, train_loss=0.370
 * Epoch 123: time=2.50s, test_loss=0.369, train_loss=0.369
 * Epoch 124: time=2.55s, test_loss=0.367, train_loss=0.367
 * Epoch 125: time=2.44s, test_loss=0.367, train_loss=0.367
 * Epoch 126: time=2.50s, test_loss=0.368, train_loss=0.368
 * Epoch 127: time=2.51s, test_loss=0.367, train_loss=0.367
 * Epoch 128: time=2.46s, test_loss=0.368, train_loss=0.368
 * Epoch 129: time=2.55s, test_loss=0.367, train_loss=0.367
 * Epoch 130: time=2.56s, test_loss=0.367, train_loss=0.367
 * Epoch 131: time=2.54s, test_loss=0.369, train_loss=0.369
 * Epoch 132: time=2.45s, test_loss=0.365, train_loss=0.365
 * Epoch 133: time=2.47s, test_loss=0.367, train_loss=0.367
 * Epoch 134: time=2.51s, test_loss=0.368, train_loss=0.368
 * Epoch 135: time=2.47s, test_loss=0.366, train_loss=0.366
 * Epoch 136: time=2.56s, test_loss=0.368, train_loss=0.368
 * Epoch 137: time=2.39s, test_loss=0.367, train_loss=0.367
 * Epoch 138: time=2.51s, test_loss=0.367, train_loss=0.367
 * Epoch 139: time=2.45s, test_loss=0.369, train_loss=0.369
 * Epoch 140: time=2.54s, test_loss=0.365, train_loss=0.365
 * Epoch 141: time=2.50s, test_loss=0.366, train_loss=0.366
 * Epoch 142: time=2.49s, test_loss=0.366, train_loss=0.366
 * Epoch 143: time=2.50s, test_loss=0.365, train_loss=0.365
 * Epoch 144: time=2.44s, test_loss=0.368, train_loss=0.368
 * Epoch 145: time=2.49s, test_loss=0.367, train_loss=0.367
 * Epoch 146: time=2.57s, test_loss=0.369, train_loss=0.369
